id,gender,city,year,group_size,tom,bumo,bumo_previous,most_favourite,age,age_group,age_sub_group,mpi,mpi_detail,mpi_mean,occupation,occupation_group,cluster,most_favourite_group,cluster_name
344108,Male,Cần Thơ,2018,4.0,Other 1,Other 1,Other 3,Other 1,30.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Connectors
344465,Female,Cần Thơ,2018,5.0,Other 1,Other 1,Refuse,Other 1,18.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experiential Indulgers
344532,Female,Cần Thơ,2018,3.0,Other 1,Other 1,Refuse,Other 1,28.0,20 - 29,25 - 29,9 - 14.9, 9  - 11.99  ,10499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,3,Other,Quality-First Bonders
344533,Male,Cần Thơ,2018,4.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,28.0,20 - 29,25 - 29,9 - 14.9, 9  - 11.99  ,10499.0,Broker/ Service provider with no employee,Self Employed,3,Major Chains,Quality-First Bonders
344534,Female,Cần Thơ,2018,3.0,Trung Nguyên,Other 1,Refuse,Other 1,21.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,2,Other,Experiential Indulgers
344625,Female,Cần Thơ,2018,7.0,Other 1,Other 1,Refuse,Other 1,55.0,40 - 60,45+,< 4.5,0 - 2.99  ,1499.0,Housewife,Non-working,0,Other,Routine Ritualists
344634,Male,Cần Thơ,2018,4.0,Other 1,Other 1,Refuse,Other 1,24.0,20 - 29,20 - 24,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,1,Other,Social Connectors
344635,Female,Cần Thơ,2018,3.0,Other 1,Other 2,Refuse,Other 2,46.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,0,Other,Routine Ritualists
344636,Female,Cần Thơ,2018,4.0,Other 1,Other 1,Refuse,Other 1,26.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,1,Other,Social Connectors
344638,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,34.0,30 - 39,30 - 34,< 4.5,0 - 2.99  ,1499.0,Housewife,Non-working,3,Other,Quality-First Bonders
344639,Female,Cần Thơ,2018,2.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,25.0,20 - 29,25 - 29,< 4.5, 3  - 4.49  ,3749.0,Lecturer / Teacher,Professional,2,Major Chains,Experiential Indulgers
344641,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,32.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Other,Social Connectors
344642,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,36.0,30 - 39,35 - 39,< 4.5, 3  - 4.49  ,3749.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,3,Other,Quality-First Bonders
344643,Female,Cần Thơ,2018,2.0,Other 1,Other 2,Refuse,Other 2,32.0,30 - 39,30 - 34,< 4.5, 3  - 4.49  ,3749.0,Civil servant - Staff level,Office Worker,3,Other,Quality-First Bonders
344644,Male,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,17.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experiential Indulgers
345343,Female,Cần Thơ,2018,4.0,Other 1,Other 1,Refuse,Other 1,28.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Connectors
345853,Female,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,41.0,40 - 60,40 - 44,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Major Chains,Routine Ritualists
345938,Male,Hồ Chí Minh,2018,1.0,Trung Nguyên,Street / Half street coffee (including carts),Refuse,Trung Nguyên,58.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,Retirement,Non-working,0,Major Chains,Routine Ritualists
346076,Female,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Phúc Long,41.0,40 - 60,40 - 44,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Major Chains,Routine Ritualists
346249,Male,Cần Thơ,2018,4.0,Other 1,Other 1,Other 2,Other 1,25.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,1,Other,Social Connectors
346359,Female,Cần Thơ,2018,5.0,Other 1,Other 1,Refuse,Other 1,23.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,2,Other,Experiential Indulgers
346366,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,28.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Connectors
